,date,avgTemp,bike_rides_daily
0,1/1/2022,11.60,20428
1,1/2/2022,11.40,43009
2,1/3/2022,1.40,33189
3,1/4/2022,-2.70,36842
4,1/5/2022,3.20,34230
5,1/6/2022,4.90,44787
6,1/7/2022,0.70,17401
7,1/8/2022,-2.50,24455
8,1/9/2022,1.40,21479
9,1/10/2022,1.60,34727
10,1/11/2022,-5.40,26824
11,1/12/2022,-1.90,40568
12,1/13/2022,4.00,50572
13,1/14/2022,4.80,45714
14,1/15/2022,-6.70,22839
15,1/16/2022,-8.00,20930
16,1/17/2022,3.90,29084
17,1/18/2022,1.80,42935
18,1/19/2022,3.20,54011
19,1/20/2022,5.10,33928
20,1/21/2022,-6.00,33598
21,1/22/2022,-5.90,31969
22,1/23/2022,-0.70,32967
23,1/24/2022,-0.20,41488
24,1/25/2022,3.60,50692
25,1/26/2022,-2.30,42005
26,1/27/2022,-4.20,43830
27,1/28/2022,0.10,34871
28,1/29/2022,-4.80,2848
29,1/30/2022,-7.10,9486
30,1/31/2022,-3.40,22349
31,2/1/2022,-1.70,29338
32,2/2/2022,2.30,41947
33,2/3/2022,6.40,26568
34,2/4/2022,5.80,20309
35,2/5/2022,-2.80,29638
36,2/6/2022,-4.80,28887
37,2/7/2022,0.50,30717
38,2/8/2022,4.10,51893
39,2/9/2022,2.80,56007
40,2/10/2022,6.30,61937
41,2/11/2022,8.60,64614
42,2/12/2022,11.80,68575
43,2/13/2022,2.80,20384
44,2/14/2022,-4.30,34198
45,2/15/2022,-4.70,40550
46,2/16/2022,1.60,53683
47,2/17/2022,11.60,67432
48,2/18/2022,9.90,47038
49,2/19/2022,0.10,32450
50,2/20/2022,-2.60,31051
51,2/21/2022,4.10,52366
52,2/22/2022,5.60,36459
53,2/23/2022,14.40,66325
54,2/24/2022,1.10,44725
55,2/25/2022,0.80,30412
56,2/26/2022,-1.10,41415
57,2/27/2022,2.40,42805
58,2/28/2022,0.80,45636
59,3/1/2022,2.60,56019
60,3/2/2022,7.70,67108
61,3/3/2022,5.60,55408
62,3/4/2022,-1.90,49704
63,3/5/2022,3.10,51358
64,3/6/2022,9.60,54531
65,3/7/2022,18.20,67882
66,3/8/2022,8.70,62178
67,3/9/2022,3.20,28088
68,3/10/2022,4.00,66071
69,3/11/2022,7.20,69316
70,3/12/2022,5.10,19628
71,3/13/2022,-2.30,30833
72,3/14/2022,5.30,63206
73,3/15/2022,11.60,78946
74,3/16/2022,13.60,81449
75,3/17/2022,8.20,50004
76,3/18/2022,13.90,92837
77,3/19/2022,13.10,77861
78,3/20/2022,14.30,65417
79,3/21/2022,10.40,73209
80,3/22/2022,10.70,75235
81,3/23/2022,7.20,60865
82,3/24/2022,5.70,45793
83,3/25/2022,9.60,74873
84,3/26/2022,10.40,62151
85,3/27/2022,5.90,45625
86,3/28/2022,-1.50,38135
87,3/29/2022,-1.20,48426
88,3/30/2022,2.60,61254
89,3/31/2022,9.90,72625
90,4/1/2022,13.10,68479
91,4/2/2022,7.20,73254
92,4/3/2022,7.00,37164
93,4/4/2022,7.60,68902
94,4/5/2022,9.70,72629
95,4/6/2022,8.60,48443
96,4/7/2022,9.10,35322
97,4/8/2022,12.80,88195
98,4/9/2022,11.40,67329
99,4/10/2022,8.60,57144
100,4/11/2022,8.80,75355
101,4/12/2022,13.40,93575
102,4/13/2022,15.40,98764
103,4/14/2022,16.30,90635
104,4/15/2022,15.70,99636
105,4/16/2022,15.70,82188
106,4/17/2022,8.30,54110
107,4/18/2022,7.90,55811
108,4/19/2022,7.60,58873
109,4/20/2022,9.40,85294
110,4/21/2022,10.60,77520
111,4/22/2022,14.60,97494
112,4/23/2022,13.30,94585
113,4/24/2022,12.80,83406
114,4/25/2022,10.40,72682
115,4/26/2022,11.50,74947
116,4/27/2022,11.60,82446
117,4/28/2022,8.20,78531
118,4/29/2022,10.40,87089
119,4/30/2022,12.90,101537
120,5/1/2022,13.60,94657
121,5/2/2022,12.10,54536
122,5/3/2022,12.40,92564
123,5/4/2022,12.00,79594
124,5/5/2022,17.20,110355
125,5/6/2022,14.80,35170
126,5/7/2022,10.00,20557
127,5/8/2022,10.40,62745
128,5/9/2022,13.50,93995
129,5/10/2022,15.40,104600
130,5/11/2022,16.10,107079
131,5/12/2022,17.10,110862
132,5/13/2022,16.00,95861
133,5/14/2022,17.90,79812
134,5/15/2022,18.80,108477
135,5/16/2022,20.40,79295
136,5/17/2022,19.70,117412
137,5/18/2022,17.80,117596
138,5/19/2022,15.50,90207
139,5/20/2022,15.40,85189
140,5/21/2022,21.20,115215
141,5/22/2022,27.80,103604
142,5/23/2022,21.00,101563
143,5/24/2022,17.40,104949
144,5/25/2022,16.20,114182
145,5/26/2022,16.40,111106
146,5/27/2022,20.20,89185
147,5/28/2022,20.40,82607
148,5/29/2022,20.70,101235
149,5/30/2022,23.30,100732
150,5/31/2022,28.30,100360
151,6/1/2022,17.80,88070
152,6/2/2022,20.30,98712
153,6/3/2022,19.50,120876
154,6/4/2022,21.90,127507
155,6/5/2022,20.00,115902
156,6/6/2022,22.20,110255
157,6/7/2022,21.80,103639
158,6/8/2022,23.70,123906
159,6/9/2022,24.40,115009
160,6/10/2022,21.80,122508
161,6/11/2022,21.80,115603
162,6/12/2022,20.50,90287
163,6/13/2022,24.20,111525
164,6/14/2022,23.90,123640
165,6/15/2022,23.30,127915
166,6/16/2022,20.30,102031
167,6/17/2022,25.20,119656
168,6/18/2022,21.70,108577
169,6/19/2022,17.30,105636
170,6/20/2022,20.50,114193
171,6/21/2022,22.10,99400
172,6/22/2022,19.10,94428
173,6/23/2022,19.20,117321
174,6/24/2022,21.90,124257
175,6/25/2022,25.80,118493
176,6/26/2022,27.00,106089
177,6/27/2022,24.30,79616
178,6/28/2022,22.40,121346
179,6/29/2022,23.90,121539
180,6/30/2022,25.40,116209
181,7/1/2022,28.10,103432
182,7/2/2022,28.70,88943
183,7/3/2022,26.90,89364
184,7/4/2022,25.60,94692
185,7/5/2022,25.90,88946
186,7/6/2022,26.00,112874
187,7/7/2022,24.20,114752
188,7/8/2022,23.50,98312
189,7/9/2022,24.70,123237
190,7/10/2022,23.40,115594
191,7/11/2022,24.00,111362
192,7/12/2022,25.80,111767
193,7/13/2022,28.90,120853
194,7/14/2022,26.60,120450
195,7/15/2022,26.10,119355
196,7/16/2022,24.30,111650
197,7/17/2022,25.70,111004
198,7/18/2022,26.20,83439
199,7/19/2022,28.20,119752
200,7/20/2022,31.30,117760
201,7/21/2022,29.80,109101
202,7/22/2022,30.90,111786
203,7/23/2022,30.30,107728
204,7/24/2022,31.10,99639
205,7/25/2022,29.80,96351
206,7/26/2022,25.90,122455
207,7/27/2022,25.50,125081
208,7/28/2022,26.70,117505
209,7/29/2022,28.20,114611
210,7/30/2022,26.70,123256
211,7/31/2022,26.30,112671
212,8/1/2022,23.10,98167
213,8/2/2022,26.40,120945
214,8/3/2022,27.60,124946
215,8/4/2022,29.10,118082
216,8/5/2022,29.30,114401
217,8/6/2022,29.60,123062
218,8/7/2022,29.60,95005
219,8/8/2022,30.30,104188
220,8/9/2022,31.30,109152
221,8/10/2022,27.20,123692
222,8/11/2022,26.60,114225
223,8/12/2022,25.60,122804
224,8/13/2022,23.10,132252
225,8/14/2022,24.00,111858
226,8/15/2022,24.30,111846
227,8/16/2022,23.60,122538
228,8/17/2022,23.60,120504
229,8/18/2022,24.10,121945
230,8/19/2022,26.30,120752
231,8/20/2022,27.90,128688
232,8/21/2022,25.30,110432
233,8/22/2022,24.50,85908
234,8/23/2022,25.90,118449
235,8/24/2022,26.90,122883
236,8/25/2022,28.10,120158
237,8/26/2022,27.40,108773
238,8/27/2022,27.80,117835
239,8/28/2022,24.60,107815
240,8/29/2022,26.00,108140
241,8/30/2022,26.80,113460
242,8/31/2022,25.60,123277
243,9/1/2022,25.90,121537
244,9/2/2022,21.70,116500
245,9/3/2022,22.80,107735
246,9/4/2022,25.30,99471
247,9/5/2022,25.80,93932
248,9/6/2022,23.30,40735
249,9/7/2022,20.80,112912
250,9/8/2022,21.80,134611
251,9/9/2022,21.90,133707
252,9/10/2022,23.60,134650
253,9/11/2022,23.20,67771
254,9/12/2022,22.40,115155
255,9/13/2022,24.70,122436
256,9/14/2022,22.90,135072
257,9/15/2022,21.80,132381
258,9/16/2022,19.60,131682
259,9/17/2022,20.80,130502
260,9/18/2022,23.40,116749
261,9/19/2022,25.60,102898
262,9/20/2022,23.20,130001
263,9/21/2022,22.00,133613
264,9/22/2022,21.80,102216
265,9/23/2022,15.10,113272
266,9/24/2022,14.50,113146
267,9/25/2022,19.20,86810
268,9/26/2022,19.40,105459
269,9/27/2022,19.70,116586
270,9/28/2022,17.20,123677
271,9/29/2022,16.60,121411
272,9/30/2022,14.50,115282
273,10/1/2022,14.80,59778
274,10/2/2022,15.20,51635
275,10/3/2022,11.50,49566
276,10/4/2022,10.30,51994
277,10/5/2022,13.80,69309
278,10/6/2022,17.60,123901
279,10/7/2022,20.30,123619
280,10/8/2022,13.90,100747
281,10/9/2022,12.30,93815
282,10/10/2022,15.80,96125
283,10/11/2022,17.00,112059
284,10/12/2022,17.90,118695
285,10/13/2022,18.70,73732
286,10/14/2022,15.70,114921
287,10/15/2022,16.20,118062
288,10/16/2022,16.10,101163
289,10/17/2022,16.60,88784
290,10/18/2022,12.60,101005
291,10/19/2022,10.00,99852
292,10/20/2022,11.10,104413
293,10/21/2022,13.40,108664
294,10/22/2022,14.40,111348
295,10/23/2022,14.70,66604
296,10/24/2022,14.10,66311
297,10/25/2022,16.90,98171
298,10/26/2022,18.30,112685
299,10/27/2022,16.90,115653
300,10/28/2022,11.30,106226
301,10/29/2022,10.80,105008
302,10/30/2022,12.50,95656
303,10/31/2022,14.40,96458
304,11/1/2022,16.90,103775
305,11/2/2022,17.60,117444
306,11/3/2022,15.70,116776
307,11/4/2022,15.20,118788
308,11/5/2022,19.40,122101
309,11/6/2022,19.80,103297
310,11/7/2022,21.30,107226
311,11/8/2022,13.20,96598
312,11/9/2022,8.70,95500
313,11/10/2022,12.60,109046
314,11/11/2022,16.40,54871
315,11/12/2022,19.70,113802
316,11/13/2022,12.90,69264
317,11/14/2022,6.30,73998
318,11/15/2022,4.90,64512
319,11/16/2022,7.30,76960
320,11/17/2022,5.70,78388
321,11/18/2022,4.50,73521
322,11/19/2022,2.80,59493
323,11/20/2022,2.70,45018
324,11/21/2022,1.10,59696
325,11/22/2022,6.60,74006
326,11/23/2022,9.40,73869
327,11/24/2022,8.10,37888
328,11/25/2022,10.00,43128
329,11/26/2022,9.30,59617
330,11/27/2022,10.70,34622
331,11/28/2022,12.20,73068
332,11/29/2022,5.40,75411
333,11/30/2022,8.40,54667
334,12/1/2022,5.70,73173
335,12/2/2022,3.40,74951
336,12/3/2022,10.60,45429
337,12/4/2022,7.00,62606
338,12/5/2022,5.40,73891
339,12/6/2022,9.30,52639
340,12/7/2022,13.80,74044
341,12/8/2022,11.60,89347
342,12/9/2022,5.30,76825
343,12/10/2022,2.20,63441
344,12/11/2022,3.40,32718
345,12/12/2022,1.60,59960
346,12/13/2022,0.30,65507
347,12/14/2022,1.70,67388
348,12/15/2022,2.70,44106
349,12/16/2022,6.20,28414
350,12/17/2022,5.00,59369
351,12/18/2022,3.10,48245
352,12/19/2022,1.70,54328
353,12/20/2022,1.90,58639
354,12/21/2022,1.00,59180
355,12/22/2022,3.80,39131
356,12/23/2022,7.50,26043
357,12/24/2022,-11.70,11542
358,12/25/2022,-6.90,9164
359,12/26/2022,-4.70,19221
360,12/27/2022,-0.70,33044
361,12/28/2022,3.40,44027
362,12/29/2022,6.40,51674
363,12/30/2022,9.30,62298
364,12/31/2022,8.20,31466
