,level_0,index,start_station_name,value,normalized_value
0,0,1587,W 21 St & 6 Ave,128822,1.0
1,1,1718,West St & Chambers St,123045,0.8685790982301288
2,2,495,Broadway & W 58 St,114040,0.6637244642613404
3,3,286,6 Ave & W 33 St,106236,0.48619136448428046
4,4,8,1 Ave & E 68 St,104685,0.45090768460803493
5,5,461,Broadway & E 14 St,98656,0.3137540379453114
6,6,485,Broadway & W 25 St,98237,0.30422221211156103
7,7,1511,University Pl & E 14 St,96938,0.2746712771281678
8,8,463,Broadway & E 21 St,95532,0.24268620046407935
9,9,1603,W 31 St & 7 Ave,94030,0.20851722098366623
10,10,788,E 33 St & 1 Ave,90839,0.13592520132854088
11,11,590,Cleveland Pl & Spring St,90778,0.13453751308066791
12,12,29,12 Ave & W 40 St,90237,0.12223031075117158
13,13,287,6 Ave & W 34 St,89454,0.10441785340552345
14,14,1719,West St & Liberty St,87477,0.05944310478183721
15,15,24,11 Ave & W 41 St,87437,0.05853314527503526
16,16,1105,Lafayette St & E 8 St,87324,0.05596250966831976
17,17,562,Central Park S & 6 Ave,86777,0.04351881341280313
18,18,796,E 40 St & Park Ave,85450,0.013330906774648528
19,19,328,8 Ave & W 33 St,84864,0.0
